序号,新高日期,新高股价,最大回调日期,周期最低价,回调幅度,间隔天数
1,2023-12-29,3.68,2024-01-02,3.62,1.6304396768935925,4
2,2024-01-02,3.69,2024-01-03,3.60,2.4390284875953205,1
3,2024-01-04,3.70,2024-01-04,3.64,1.6216200542241166,0
4,2024-01-05,3.83,2024-01-22,3.52,8.093993445294203,17
5,2024-01-25,3.84,2024-01-25,3.77,1.8229149689431856,0
6,2024-01-26,3.86,2024-01-26,3.79,1.813469822414596,0
7,2024-01-29,3.96,2024-01-31,3.78,4.5454561874557635,2
8,2024-02-06,4.00,2024-02-06,3.89,2.74999737739563,0
9,2024-02-07,4.04,2024-02-09,3.83,5.19802079529357,2
10,2024-02-19,4.07,2024-02-19,3.97,2.4570058681429323,0
11,2024-02-20,4.11,2024-02-20,4.05,1.4598525749495752,0
12,2024-02-21,4.25,2024-02-21,4.08,4.000001795151655,0
13,2024-02-23,4.32,2024-03-15,4.11,4.861111800979658,21
14,2024-04-18,4.46,2024-04-18,4.28,4.035870556032749,0
15,2024-04-29,4.49,2024-04-29,4.36,2.8953150162719363,0
16,2024-04-30,4.62,2024-05-02,4.45,3.6796554221856437,2
17,2024-05-08,4.68,2024-05-08,4.57,2.350420100683966,0
18,2024-05-10,4.87,2024-05-10,4.66,4.312115874369562,0
19,2024-05-13,4.93,2024-05-13,4.84,1.825551295831621,0
20,2024-05-16,5.04,2024-05-16,4.90,2.7777751497070007,0
21,2024-05-17,5.08,2024-05-17,4.99,1.7716565736133332,0
22,2024-05-20,5.09,2024-06-13,4.61,9.430255494775214,24
23,2024-07-02,5.22,2024-07-02,5.01,4.022980263416915,0
24,2024-07-03,5.23,2024-09-11,4.26,18.546841045011877,70
25,2024-10-04,5.30,2024-10-04,5.09,3.9622647281047634,0
26,2024-10-07,5.47,2024-11-12,4.83,11.700180823282485,36
