序号,新高日期,新高股价,最大回调日期,周期最低价,回调幅度,间隔天数
1,2023-11-22,37.01,2023-12-01,34.10,7.862739744354459,9
2,2023-12-04,37.44,2023-12-06,34.26,8.493590870239053,2
3,2023-12-08,39.00,2023-12-08,36.00,7.6923076923076925,0
4,2023-12-11,39.30,2023-12-11,37.77,3.893126740455661,0
5,2023-12-13,40.20,2024-02-05,23.10,42.53731357446711,54
6,2024-09-30,41.91,2024-09-30,39.00,6.943449911732219,0
7,2024-10-08,46.10,2024-10-08,43.10,6.507592406286291,0
8,2024-10-09,48.81,2024-10-14,38.55,21.0202865141585,5
9,2024-11-01,50.05,2024-11-04,43.00,14.085912776278786,3
10,2024-11-05,50.57,2024-11-05,45.32,10.381649261780264,0
11,2024-11-06,55.63,2024-11-07,51.06,8.214991204527497,1
12,2024-11-07,59.73,2024-11-07,51.06,14.515315980899308,0
13,2024-11-08,65.70,2024-11-08,61.53,6.347029471295708,0
14,2024-11-11,72.20,2024-11-12,62.26,13.76731169924376,1
15,2024-11-13,73.00,2024-11-19,51.05,30.06849419580747,6
