序号,新高日期,新高股价,最大回调日期,周期最低价,回调幅度,间隔天数
1,2023-11-21,50.52,2023-12-04,45.01,10.90128106535149,13
2,2024-01-08,52.28,2024-01-08,49.48,5.348639603467065,0
3,2024-01-09,54.33,2024-01-09,51.69,4.850441047813236,0
4,2024-01-10,54.60,2024-01-10,53.49,2.0347987034500377,0
5,2024-01-11,55.35,2024-01-11,53.56,3.2269708315510597,0
6,2024-01-16,56.83,2024-01-17,54.74,3.68610440706106,1
7,2024-01-18,57.60,2024-01-18,56.11,2.592014010535717,0
8,2024-01-19,59.50,2024-01-19,57.22,3.8235319762670694,0
9,2024-01-22,60.33,2024-01-23,58.58,2.8940381564562667,1
10,2024-01-24,62.85,2024-01-24,59.94,4.631735339189953,0
11,2024-01-30,63.49,2024-01-31,60.70,4.398908960414037,1
12,2024-02-02,66.60,2024-02-02,63.69,4.3693692403654545,0
13,2024-02-05,69.50,2024-02-06,66.30,4.600196440684497,1
14,2024-02-06,69.75,2024-02-06,66.30,4.951679989359929,0
15,2024-02-07,70.22,2024-02-07,67.60,3.7311345785188763,0
16,2024-02-08,70.79,2024-02-08,69.46,1.891398863533371,0
17,2024-02-09,72.18,2024-02-09,70.21,2.733254331902401,0
18,2024-02-12,74.61,2024-02-21,66.25,11.208801591670175,9
19,2024-02-22,78.57,2024-02-22,74.22,5.542470119862332,0
20,2024-02-23,82.39,2024-02-28,77.12,6.394879932915698,5
21,2024-03-04,87.69,2024-03-05,83.42,4.87827115892239,1
22,2024-03-06,89.72,2024-03-06,87.03,3.002541430901786,0
23,2024-03-07,92.77,2024-03-08,86.51,6.7491691035134345,1
24,2024-03-08,97.40,2024-04-19,75.61,22.375768354039618,42
25,2024-05-23,106.32,2024-05-23,101.52,4.514675569540547,0
26,2024-05-24,106.47,2024-05-24,103.00,3.2636755331494065,0
27,2024-05-28,114.94,2024-05-28,109.88,4.398854717982434,0
28,2024-05-29,115.49,2024-05-30,109.66,5.047098426075656,1
29,2024-05-30,115.82,2024-05-31,106.94,7.666270459957255,1
30,2024-06-04,116.60,2024-06-04,114.04,2.191252434486827,0
31,2024-06-05,122.45,2024-06-05,117.47,4.0678121340454165,0
32,2024-06-06,125.59,2024-06-10,117.01,6.829525338742826,4
33,2024-06-12,126.88,2024-06-12,122.57,3.396908615930511,0
34,2024-06-13,129.80,2024-06-13,127.16,2.0338977870406802,0
35,2024-06-14,132.84,2024-06-14,128.32,3.402581404906751,0
36,2024-06-17,133.73,2024-06-17,129.58,3.103263313445067,0
37,2024-06-18,136.33,2024-06-20,129.52,4.995230299367968,2
38,2024-06-20,140.76,2024-08-05,90.69,35.5711807469544,46
39,2024-10-17,140.89,2024-10-17,136.87,2.8532928453943183,0
40,2024-10-21,143.71,2024-10-21,138.00,3.9732840074498474,0
41,2024-10-22,144.42,2024-10-31,132.11,8.523748590685672,9
42,2024-11-06,146.49,2024-11-06,141.96,3.092360304067479,0
43,2024-11-07,148.93,2024-11-07,146.17,1.8532160361038972,0
44,2024-11-08,149.77,2024-11-18,137.15,8.426260276402406,10
