datetime,open,close,high,low,volume,amount,MACD_15m,MACD_15m_Signal,MACD_15m_Hist,KDJ_15m_K,KDJ_15m_D,KDJ_15m_J,RSI_15m_6,RSI_15m_12,RSI_15m_24,ma5_15m,ma10_15m,ma20_15m
2025-03-13 09:45:00,46.74,46.27,46.77,46.17,22055.0,102383861.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,,,
2025-03-13 10:00:00,46.25,46.21,46.33,46.1,17829.0,82386369.0,-0.005,-0.001,-0.008,38.81,46.27,23.88,50.0,50.0,50.0,,,
2025-03-13 10:15:00,46.15,46.41,46.68,46.11,13006.0,60422538.0,0.007,0.001,0.013,41.29,44.61,34.66,99.01,99.01,99.01,,,
2025-03-13 10:30:00,46.41,46.34,46.43,46.16,8037.0,37161107.0,0.011,0.003,0.017,39.47,42.9,32.61,74.07,74.07,74.07,,,
2025-03-13 10:45:00,46.35,46.19,46.38,46.1,10098.0,46632700.0,0.002,0.003,-0.001,30.79,38.86,14.65,47.62,47.62,47.62,46.284,,
2025-03-13 11:00:00,46.18,46.26,46.28,46.12,6236.0,28799082.0,0.001,0.002,-0.003,28.49,35.4,14.66,55.1,55.1,55.1,46.282,,
2025-03-13 11:15:00,46.25,46.04,46.25,46.0,11474.0,52883016.0,-0.018,-0.002,-0.032,20.72,30.51,1.15,38.03,38.03,38.03,46.248,,
2025-03-13 11:30:00,46.05,45.97,46.1,45.88,12030.0,55327431.0,-0.038,-0.009,-0.058,17.19,26.07,0.0,34.01,34.62,34.62,46.16,,
2025-03-13 13:15:00,45.99,45.77,45.99,45.7,16247.0,74475006.0,-0.069,-0.021,-0.096,13.64,21.93,0.0,24.95,27.55,27.55,46.046,,
2025-03-13 13:30:00,45.78,45.7,45.79,45.5,16998.0,77534182.0,-0.098,-0.036,-0.124,14.74,19.53,5.16,22.44,25.71,25.71,45.948,46.116,
2025-03-13 13:45:00,45.67,45.61,45.7,45.4,13442.0,61190568.0,-0.127,-0.055,-0.146,15.3,18.12,9.65,19.43,23.68,23.68,45.818,46.05,
2025-03-13 14:00:00,45.58,45.54,45.69,45.5,8155.0,37174407.0,-0.154,-0.075,-0.159,14.73,16.99,10.21,17.27,22.31,22.31,45.718,45.983,
2025-03-13 14:15:00,45.51,45.68,45.69,45.45,5684.0,25872430.0,-0.162,-0.092,-0.14,19.34,17.77,22.48,34.72,30.37,30.37,45.66,45.91,
2025-03-13 14:30:00,45.68,45.87,45.87,45.61,6487.0,29660845.0,-0.152,-0.104,-0.095,30.7,22.08,47.93,51.41,39.64,38.96,45.68,45.863,
2025-03-13 14:45:00,45.88,45.91,46.02,45.83,8569.0,39352373.0,-0.138,-0.111,-0.055,40.47,28.21,64.98,54.36,41.43,40.51,45.722,45.835,
2025-03-13 15:00:00,45.91,45.71,45.95,45.7,10386.0,47550048.0,-0.142,-0.117,-0.05,41.74,32.72,59.78,39.85,35.66,35.96,45.742,45.78,
2025-03-14 09:45:00,45.2,45.71,45.95,45.2,20903.0,95416442.0,-0.144,-0.123,-0.043,48.56,38.0,69.68,50.0,50.0,50.0,45.776,45.747,
2025-03-14 10:00:00,45.71,45.91,46.09,45.43,16069.0,73642485.0,-0.128,-0.124,-0.008,58.96,44.99,86.92,56.55,44.81,42.42,45.822,45.741,
2025-03-14 10:15:00,45.95,45.97,46.01,45.8,8107.0,37210699.0,-0.108,-0.121,0.024,68.15,52.71,99.03,60.5,47.26,44.12,45.842,45.761,
2025-03-14 10:30:00,45.98,46.0,46.18,45.98,16840.0,77553647.0,-0.09,-0.114,0.049,72.64,59.35,99.22,62.54,48.51,44.93,45.86,45.791,45.954
2025-03-14 10:45:00,46.0,45.99,46.14,45.92,7119.0,32771944.0,-0.075,-0.107,0.063,75.3,64.67,96.56,61.27,48.09,44.71,45.916,45.829,45.939
2025-03-14 11:00:00,46.01,46.05,46.1,45.91,5520.0,25391743.0,-0.058,-0.097,0.078,79.11,69.48,98.37,66.2,50.84,46.26,45.984,45.88,45.932
2025-03-14 11:15:00,46.05,46.42,46.47,46.05,18281.0,84668768.0,-0.014,-0.08,0.132,84.76,74.58,100.0,82.6,63.75,54.18,46.086,45.954,45.932
2025-03-14 11:30:00,46.42,46.46,46.65,46.35,15376.0,71499373.0,0.023,-0.059,0.166,85.47,78.21,100.0,83.63,64.84,54.9,46.184,46.013,45.938
2025-03-14 13:15:00,46.47,46.41,46.58,46.4,10480.0,48708102.0,0.049,-0.038,0.173,84.8,80.4,93.59,76.81,62.28,53.85,46.266,46.063,45.949
2025-03-14 13:30:00,46.41,46.41,46.58,46.38,9129.0,42421383.0,0.068,-0.017,0.169,83.31,81.37,87.18,50.0,50.0,50.0,46.35,46.133,45.956
2025-03-14 13:45:00,46.42,46.5,46.65,46.4,8997.0,41864017.0,0.089,0.004,0.17,82.99,81.91,85.15,80.85,65.22,55.52,46.44,46.212,45.979
2025-03-14 14:00:00,46.5,46.65,46.67,46.5,13110.0,61096304.0,0.117,0.027,0.18,87.78,83.87,95.61,85.81,69.52,58.17,46.486,46.286,46.014
2025-03-14 14:15:00,46.65,46.54,46.67,46.46,8295.0,38641682.0,0.129,0.047,0.163,86.15,84.63,89.2,69.89,63.26,55.64,46.502,46.343,46.052
2025-03-14 14:30:00,46.55,46.62,46.63,46.51,5925.0,27594818.0,0.143,0.066,0.153,88.58,85.95,93.84,74.09,65.71,57.05,46.544,46.405,46.098
2025-03-14 14:45:00,46.61,46.58,46.62,46.56,6317.0,29431634.0,0.149,0.083,0.132,87.55,86.48,89.68,68.37,63.4,56.12,46.578,46.464,46.146
2025-03-14 15:00:00,46.59,46.6,46.62,46.57,15679.0,73068735.0,0.154,0.097,0.113,84.41,85.79,81.64,69.77,64.09,56.49,46.598,46.519,46.199
2025-03-17 09:45:00,47.02,47.25,47.66,47.0,45852.0,216893396.0,0.207,0.119,0.177,78.93,83.5,69.78,88.91,78.45,66.21,46.718,46.602,46.278
2025-03-17 10:00:00,47.25,47.49,47.77,47.11,27856.0,132247704.0,0.266,0.149,0.236,79.24,82.08,73.55,91.34,81.44,68.89,46.908,46.705,46.359
2025-03-17 10:15:00,47.43,47.49,47.56,47.38,12125.0,57558264.0,0.309,0.181,0.257,79.34,81.17,75.7,50.0,50.0,50.0,47.082,46.813,46.438
2025-03-17 10:30:00,47.5,47.53,47.63,47.47,8758.0,41653612.0,0.343,0.213,0.26,80.12,80.82,78.73,91.77,81.94,69.33,47.272,46.925,46.529
2025-03-17 10:45:00,47.53,47.44,47.56,47.38,6558.0,31121673.0,0.358,0.242,0.232,78.35,80.0,75.06,80.87,76.88,67.09,47.44,47.019,46.616
2025-03-17 11:00:00,47.45,47.28,47.45,47.18,8819.0,41691421.0,0.353,0.264,0.177,72.6,77.53,62.75,64.51,68.67,63.31,47.446,47.082,46.684
2025-03-17 11:15:00,47.29,47.16,47.39,47.14,4110.0,19424278.0,0.336,0.279,0.114,64.93,73.33,48.13,54.58,63.15,60.64,47.38,47.144,46.744
2025-03-17 11:30:00,47.16,47.18,47.21,47.13,3326.0,15685640.0,0.32,0.287,0.066,60.23,68.97,42.77,55.93,63.68,60.92,47.318,47.2,46.802
2025-03-17 13:15:00,47.18,47.03,47.19,47.03,6761.0,31845665.0,0.292,0.288,0.008,41.45,59.8,4.77,44.08,56.97,57.63,47.218,47.245,46.854
2025-03-17 13:30:00,47.03,47.05,47.05,47.0,4851.0,22810835.0,0.268,0.284,-0.032,29.8,49.8,0.0,45.92,57.62,57.95,47.14,47.29,46.904
2025-03-17 13:45:00,47.06,47.06,47.16,47.05,3746.0,17642724.0,0.247,0.276,-0.059,23.04,40.88,0.0,46.96,57.96,58.11,47.096,47.271,46.936
2025-03-17 14:00:00,47.06,47.02,47.12,47.02,3708.0,17445524.0,0.225,0.266,-0.083,16.42,32.73,0.0,42.98,55.97,57.19,47.068,47.224,46.964
2025-03-17 14:15:00,47.01,47.04,47.08,47.0,4977.0,23406866.0,0.206,0.254,-0.096,13.33,26.26,0.0,45.74,56.78,57.54,47.04,47.179,46.996
2025-03-17 14:30:00,47.04,46.92,47.04,46.88,8376.0,39346803.0,0.18,0.239,-0.119,11.22,21.25,0.0,33.92,50.66,54.72,47.018,47.118,47.022
2025-03-17 14:45:00,46.92,46.79,46.96,46.68,11175.0,52332067.0,0.147,0.221,-0.148,12.65,18.38,1.18,25.39,44.95,51.84,46.966,47.053,47.036
2025-03-17 15:00:00,46.78,46.81,46.87,46.78,13206.0,61831035.0,0.121,0.201,-0.16,16.61,17.79,14.24,28.7,45.97,52.24,46.916,47.006,47.044
2025-03-18 09:45:00,47.01,47.3,47.34,46.75,24310.0,114295799.0,0.138,0.188,-0.1,42.38,25.99,75.18,69.06,63.91,60.66,46.972,47.02,47.082
2025-03-18 10:00:00,47.34,47.21,47.4,47.18,18060.0,85409824.0,0.143,0.179,-0.073,52.79,34.92,88.53,61.4,59.92,58.68,47.006,47.023,47.112
2025-03-18 10:15:00,47.21,47.12,47.31,47.03,7834.0,36961053.0,0.138,0.171,-0.066,55.57,41.8,83.09,54.19,56.1,56.74,47.046,47.032,47.139
2025-03-18 10:30:00,47.11,47.03,47.15,47.0,5253.0,24715556.0,0.125,0.162,-0.073,53.25,45.62,68.51,47.49,52.46,54.86,47.094,47.03,47.16
2025-03-18 10:45:00,47.03,46.92,47.03,46.88,5612.0,26339518.0,0.105,0.15,-0.091,46.61,45.95,47.93,40.21,48.27,52.62,47.116,47.016,47.144
2025-03-18 11:00:00,46.92,46.9,46.95,46.81,4131.0,19365181.0,0.086,0.138,-0.102,41.26,44.39,35.0,38.9,47.52,52.22,47.036,47.004,47.114
2025-03-18 11:15:00,46.88,46.83,46.88,46.71,6209.0,29051570.0,0.065,0.123,-0.116,34.45,41.07,21.2,34.25,44.86,50.8,46.96,46.983,47.081
2025-03-18 11:30:00,46.84,46.86,46.93,46.83,2194.0,10286724.0,0.05,0.109,-0.116,30.21,37.45,15.73,38.06,46.27,51.39,46.908,46.977,47.048
2025-03-18 13:15:00,46.92,46.73,46.92,46.7,6275.0,29342259.0,0.028,0.092,-0.129,21.57,32.16,0.39,29.24,41.28,48.74,46.848,46.971,47.012
2025-03-18 13:30:00,46.73,46.88,46.89,46.72,3577.0,16727440.0,0.022,0.078,-0.113,22.95,29.09,10.68,46.43,48.3,51.74,46.84,46.978,46.992
2025-03-18 13:45:00,46.87,46.72,46.87,46.71,4750.0,22213536.0,0.004,0.063,-0.119,16.39,24.86,0.0,35.42,42.4,48.58,46.804,46.92,46.97
2025-03-18 14:00:00,46.72,46.77,46.89,46.72,4966.0,23248819.0,-0.006,0.049,-0.111,16.11,21.94,4.46,40.69,44.7,49.58,46.792,46.876,46.95
2025-03-18 14:15:00,46.79,46.78,46.79,46.66,8736.0,40809879.0,-0.013,0.037,-0.1,21.55,21.81,21.03,41.83,45.18,49.79,46.776,46.842,46.937
2025-03-18 14:30:00,46.78,46.98,47.05,46.71,6523.0,30587536.0,-0.002,0.029,-0.063,41.72,28.45,68.26,60.2,53.88,53.71,46.826,46.837,46.934
2025-03-18 14:45:00,47.0,46.91,47.03,46.9,4898.0,22995970.0,0.0,0.023,-0.046,49.18,35.36,76.82,53.15,50.8,52.22,46.832,46.836,46.926
2025-03-18 15:00:00,46.89,46.89,46.94,46.83,8184.0,38378772.0,0.001,0.019,-0.036,52.45,41.05,75.23,51.1,49.91,51.79,46.866,46.835,46.92
2025-03-19 09:45:00,46.8,46.58,46.81,46.49,13445.0,62627360.0,-0.023,0.01,-0.067,40.32,40.81,39.34,29.75,38.52,45.73,46.828,46.81,46.896
2025-03-19 10:00:00,46.56,46.24,46.58,46.24,16020.0,74345453.0,-0.069,-0.005,-0.127,26.88,36.17,8.31,19.19,30.26,40.32,46.72,46.748,46.862
2025-03-19 10:15:00,46.22,46.15,46.35,46.15,10456.0,48355038.0,-0.111,-0.027,-0.17,17.92,30.08,0.0,17.25,28.49,39.05,46.554,46.69,46.83
2025-03-19 10:30:00,46.16,46.19,46.3,46.13,7389.0,34136583.0,-0.14,-0.049,-0.182,14.12,24.76,0.0,21.49,30.46,39.93,46.41,46.621,46.799
2025-03-19 10:45:00,46.19,46.31,46.35,46.18,3171.0,14675020.0,-0.151,-0.07,-0.163,15.94,21.82,4.17,33.72,36.2,42.53,46.294,46.58,46.75
2025-03-19 11:00:00,46.31,46.29,46.44,46.27,3598.0,16675925.0,-0.16,-0.088,-0.145,16.42,20.02,9.22,32.7,35.67,42.21,46.236,46.532,46.704
2025-03-19 11:15:00,46.27,46.54,46.57,46.27,4563.0,21188021.0,-0.145,-0.099,-0.092,26.13,22.06,34.28,53.69,46.46,47.34,46.296,46.508,46.675
2025-03-19 11:30:00,46.53,46.4,46.55,46.38,2746.0,12759115.0,-0.143,-0.108,-0.07,28.53,24.22,37.17,44.39,42.14,45.01,46.346,46.45,46.644
2025-03-19 13:15:00,46.39,46.45,46.51,46.28,3444.0,15974996.0,-0.136,-0.114,-0.044,34.71,27.71,48.7,48.23,44.17,46.0,46.398,46.404,46.62
2025-03-19 13:30:00,46.45,46.57,46.65,46.43,6353.0,29574560.0,-0.119,-0.115,-0.008,51.34,35.59,82.85,56.83,48.85,48.33,46.45,46.372,46.604
2025-03-19 13:45:00,46.57,46.35,46.58,46.35,4382.0,20341769.0,-0.122,-0.116,-0.012,48.33,39.84,65.32,41.62,41.83,44.64,46.462,46.349,46.58
