datetime,open,close,high,low,volume,amount,MACD_1d,MACD_1d_Signal,MACD_1d_Hist,KDJ_1d_K,KDJ_1d_D,KDJ_1d_J,RSI_1d_6,RSI_1d_12,RSI_1d_24,ma5_1d,ma10_1d,ma20_1d
2024-10-29,42.69,43.75,44.5,42.05,658824.0,2865753201.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,,,
2024-10-30,43.02,46.12,48.0,43.0,847604.0,3877596339.0,0.189,0.038,0.302,56.13,52.04,64.31,50.0,50.0,50.0,,,
2024-10-31,46.13,45.5,46.46,44.0,674598.0,3048447079.0,0.286,0.087,0.396,56.75,53.61,63.03,0.0,0.0,0.0,,,
2024-11-01,45.0,47.0,50.05,45.0,1119279.0,5416654568.0,0.478,0.165,0.624,58.46,55.23,64.92,70.75,70.75,70.75,,,
2024-11-04,45.99,45.97,47.1,43.0,758951.0,3422020440.0,0.54,0.24,0.6,55.31,55.25,55.41,47.62,47.62,47.62,45.668,,
2024-11-05,45.39,50.57,50.57,45.32,822769.0,3944602191.0,0.95,0.382,1.136,70.2,60.24,90.14,78.71,78.71,78.71,47.032,,
2024-11-06,52.0,54.3,55.63,51.16,1528825.0,8289434674.0,1.558,0.618,1.882,76.87,65.78,99.05,85.63,85.63,85.63,48.668,,
2024-11-07,52.33,59.73,59.73,51.06,1402417.0,7703841657.0,2.45,0.984,2.932,84.58,72.05,100.0,90.83,90.24,90.24,51.514,,
2024-11-08,62.44,65.7,65.7,61.53,684098.0,4390419571.0,3.597,1.507,4.181,89.72,77.94,100.0,93.8,92.79,92.79,55.254,,
2024-11-11,67.6,65.86,72.2,64.58,1649088.0,11211185880.0,4.467,2.099,4.737,85.91,80.6,96.54,93.86,92.84,92.84,59.232,52.45,
2024-11-12,64.01,69.19,71.0,62.26,1682593.0,11204616042.0,5.364,2.752,5.224,87.17,82.79,95.94,95.11,93.74,93.74,62.956,54.994,
2024-11-13,67.68,67.47,73.0,66.02,1385856.0,9537724639.0,5.868,3.375,4.986,85.3,83.63,88.66,84.42,88.0,88.0,65.59,57.129,
2024-11-14,65.0,62.8,66.8,60.88,1200584.0,7581450812.0,5.824,3.865,3.918,78.87,82.04,72.53,61.78,75.46,75.46,66.204,58.859,
2024-11-15,62.42,57.66,63.25,57.4,1145827.0,6922029522.0,5.313,4.154,2.316,67.44,77.17,47.97,45.62,64.43,65.22,64.596,59.925,
2024-11-18,57.0,53.2,57.68,52.47,1093201.0,5998257108.0,4.496,4.223,0.546,48.21,67.52,9.59,35.86,56.6,58.36,62.064,60.648,
2024-11-19,53.6,55.62,56.77,51.05,1110326.0,5981897993.0,3.998,4.178,-0.36,39.08,58.04,1.16,43.7,59.51,60.61,59.35,61.153,
2024-11-20,54.7,55.44,56.38,54.1,885880.0,4887863643.0,3.548,4.052,-1.008,32.72,49.6,0.0,43.23,59.19,60.36,56.944,61.267,
2024-11-21,54.74,58.44,60.0,54.7,1185874.0,6870607459.0,3.394,3.92,-1.053,33.04,44.08,10.95,53.31,62.85,62.84,56.072,61.138,
2024-11-22,57.9,54.1,58.01,54.0,842876.0,4741785638.0,2.888,3.714,-1.651,26.66,38.27,3.43,40.75,55.06,57.63,55.36,59.978,
2024-11-25,53.3,52.7,53.9,51.38,597277.0,3128189587.0,2.348,3.441,-2.186,20.28,32.27,0.0,37.34,52.76,56.13,55.26,58.662,55.556
2024-11-26,52.63,52.2,53.9,51.96,427746.0,2267155932.0,1.858,3.124,-2.533,15.95,26.83,0.0,36.05,51.91,55.61,54.576,56.963,55.978
2024-11-27,51.9,53.5,53.5,51.0,526038.0,2747154022.0,1.556,2.81,-2.509,17.44,23.7,4.91,42.28,54.0,56.65,54.188,55.566,56.348
2024-11-28,53.69,54.66,56.5,52.85,703460.0,3864603518.0,1.395,2.527,-2.265,25.18,24.19,27.15,47.73,55.87,57.54,53.432,54.752,56.806
2024-11-29,53.8,55.46,56.71,53.06,597531.0,3276545081.0,1.316,2.285,-1.938,33.31,27.23,45.45,51.52,57.18,58.13,53.704,54.532,57.229
2024-12-02,55.26,55.82,55.93,55.0,460698.0,2553828857.0,1.268,2.082,-1.627,40.06,31.51,57.15,53.35,57.79,58.39,54.328,54.794,57.721
2024-12-03,55.87,55.27,57.6,54.0,567276.0,3185219981.0,1.172,1.9,-1.455,42.52,35.18,57.2,49.9,56.44,57.81,54.942,54.759,57.956
2024-12-04,55.28,56.24,57.05,54.11,609886.0,3388178323.0,1.161,1.752,-1.181,53.26,41.21,77.38,55.93,58.32,58.56,55.49,54.839,58.053
2024-12-05,55.55,55.1,55.94,54.8,365520.0,2017995095.0,1.049,1.611,-1.126,56.22,46.21,76.23,47.82,55.27,57.31,55.578,54.505,57.821
2024-12-06,56.0,55.26,56.5,54.8,362003.0,2009377910.0,0.961,1.481,-1.041,58.99,50.47,76.04,49.06,55.62,57.45,55.538,54.621,57.3
2024-12-09,55.82,55.92,57.67,55.51,494737.0,2796044674.0,0.934,1.372,-0.876,63.92,54.95,81.84,54.44,57.15,58.01,55.558,54.943,56.802
2024-12-10,58.01,55.99,58.54,55.88,541673.0,3086220101.0,0.908,1.279,-0.742,61.01,56.97,69.08,55.04,57.32,58.07,55.702,55.322,56.142
2024-12-11,55.58,54.46,55.72,53.66,461406.0,2506283236.0,0.755,1.174,-0.838,49.19,54.38,38.81,40.84,52.36,56.2,55.346,55.418,55.492
2024-12-12,54.49,54.03,54.7,53.26,307578.0,1656305660.0,0.592,1.058,-0.931,37.65,48.8,15.35,37.57,51.01,55.67,55.132,55.355,55.054
2024-12-13,53.6,52.35,53.83,52.28,308246.0,1630877058.0,0.324,0.911,-1.174,25.47,41.03,0.0,27.32,45.95,53.62,54.55,55.044,54.788
2024-12-16,52.6,51.1,52.68,50.66,289082.0,1483678207.0,0.011,0.731,-1.441,18.84,33.63,0.0,21.97,42.53,52.13,53.586,54.572,54.683
2024-12-17,51.0,50.08,51.59,49.99,247815.0,1253618910.0,-0.317,0.522,-1.676,12.91,26.73,0.0,18.43,39.88,50.93,52.404,54.053,54.406
2024-12-18,50.26,50.56,51.08,50.12,209913.0,1062317939.0,-0.531,0.311,-1.684,10.83,21.43,0.0,25.23,41.74,51.48,51.624,53.485,54.162
2024-12-19,50.0,51.94,52.5,49.55,367994.0,1887659995.0,-0.583,0.132,-1.43,16.08,19.65,8.96,41.92,46.9,53.06,51.206,53.169,53.837
2024-12-20,51.43,51.96,52.69,51.17,278010.0,1444198741.0,-0.615,-0.017,-1.196,19.66,19.65,19.67,42.15,46.97,53.08,51.128,52.839,53.73
2024-12-23,51.51,50.43,52.23,50.2,233065.0,1191472003.0,-0.756,-0.165,-1.181,17.86,19.05,15.47,31.1,42.07,51.08,50.994,52.29,53.616
2024-12-24,50.28,50.75,50.95,49.72,223409.0,1122836321.0,-0.832,-0.298,-1.067,19.67,19.26,20.5,35.35,43.41,51.48,51.128,51.766,53.544
2024-12-25,50.75,48.31,50.76,47.7,348467.0,1706098843.0,-1.076,-0.454,-1.245,16.43,18.32,12.66,22.6,36.37,48.33,50.678,51.151,53.284
2024-12-26,48.21,49.56,50.11,48.11,276567.0,1362750904.0,-1.156,-0.594,-1.123,23.38,20.0,30.13,36.65,41.66,49.97,50.202,50.704,53.03
2024-12-27,49.75,49.42,51.1,49.22,250937.0,1259159909.0,-1.216,-0.719,-0.995,27.08,22.36,36.5,35.78,41.24,49.78,49.694,50.411,52.728
2024-12-30,49.42,49.13,49.69,48.67,150306.0,739436083.0,-1.273,-0.829,-0.887,27.6,24.11,34.59,33.78,40.33,49.39,49.434,50.214,52.393
2024-12-31,49.3,46.69,49.5,46.66,239850.0,1145304030.0,-1.497,-0.963,-1.069,18.57,22.26,11.18,21.59,33.5,46.19,48.622,49.875,51.964
2025-01-02,46.32,44.48,46.61,43.8,312521.0,1413198116.0,-1.832,-1.137,-1.391,14.93,19.82,5.15,15.51,28.7,43.52,47.856,49.267,51.376
2025-01-03,44.46,41.97,44.77,41.81,282054.0,1212629553.0,-2.274,-1.364,-1.82,10.46,16.7,0.0,11.21,24.37,40.73,46.338,48.27,50.72
2025-01-06,41.61,41.76,42.75,41.37,209853.0,877616446.0,-2.611,-1.614,-1.995,8.31,13.9,0.0,10.9,24.04,40.5,44.806,47.25,50.044
2025-01-07,42.0,43.0,43.6,41.82,273052.0,1168095428.0,-2.747,-1.84,-1.813,11.13,12.98,7.42,25.25,30.15,42.47,43.58,46.507,49.398
2025-01-08,42.58,42.7,43.49,41.7,252138.0,1076588433.0,-2.845,-2.041,-1.608,11.97,12.64,10.63,24.13,29.52,42.12,42.782,45.702,48.734
