datetime,open,close,high,low,volume,amount,MACD_1h,MACD_1h_Signal,MACD_1h_Hist,KDJ_1h_K,KDJ_1h_D,KDJ_1h_J,RSI_1h_6,RSI_1h_12,RSI_1h_24,ma5_1h,ma10_1h,ma20_1h
2025-03-13 10:30:00,46.74,46.34,46.77,46.1,60927.0,282353875.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,,,
2025-03-13 11:30:00,46.35,45.97,46.38,45.88,39838.0,183642229.0,-0.03,-0.006,-0.047,36.7,45.57,18.98,50.0,50.0,50.0,,,
2025-03-13 14:00:00,45.99,45.54,45.99,45.4,54841.0,250374163.0,-0.087,-0.022,-0.129,27.88,39.67,4.29,0.0,0.0,0.0,,,
2025-03-13 15:00:00,45.51,45.71,46.02,45.45,31125.0,142435696.0,-0.117,-0.041,-0.152,26.13,35.16,8.07,28.33,28.33,28.33,,,
2025-03-14 10:30:00,45.2,46.0,46.18,45.2,61919.0,283823273.0,-0.116,-0.056,-0.12,34.4,34.9,33.4,51.69,51.69,51.69,45.912,,
2025-03-14 11:30:00,46.0,46.46,46.65,45.91,46295.0,214331828.0,-0.077,-0.06,-0.034,49.69,39.83,69.4,68.15,68.15,68.15,45.936,,
2025-03-14 14:00:00,46.47,46.65,46.67,46.38,41716.0,194089806.0,-0.031,-0.054,0.047,63.91,47.86,96.01,72.08,72.08,72.08,46.072,,
2025-03-14 15:00:00,46.65,46.6,46.67,46.46,36216.0,168736869.0,0.002,-0.043,0.09,72.33,56.02,100.0,69.38,69.81,69.81,46.284,,
2025-03-17 10:30:00,47.02,47.53,47.77,47.0,94590.0,448352976.0,0.101,-0.014,0.231,78.44,63.49,100.0,83.33,80.95,80.95,46.648,,
2025-03-17 11:30:00,47.53,47.18,47.56,47.13,22813.0,107923012.0,0.151,0.019,0.264,77.97,68.32,97.29,69.11,71.08,71.08,46.884,46.398,
2025-03-17 14:00:00,47.18,47.02,47.19,47.0,19066.0,89744748.0,0.174,0.05,0.249,75.59,70.74,85.28,63.19,67.33,67.33,46.996,46.466,
2025-03-17 15:00:00,47.01,46.81,47.08,46.68,37733.0,176916771.0,0.175,0.075,0.199,71.27,70.92,71.98,55.68,62.96,62.96,47.028,46.55,
2025-03-18 10:30:00,47.01,47.03,47.4,46.75,55457.0,261382232.0,0.19,0.098,0.185,71.25,71.03,71.69,61.44,65.32,65.32,47.114,46.699,
2025-03-18 11:30:00,47.03,46.86,47.03,46.71,18146.0,85042993.0,0.187,0.116,0.142,64.53,68.86,55.85,54.84,62.0,62.26,46.98,46.814,
2025-03-18 14:00:00,46.92,46.77,46.92,46.7,19569.0,91532054.0,0.175,0.127,0.094,52.37,63.36,30.38,51.33,60.23,60.75,46.898,46.891,
2025-03-18 15:00:00,46.79,46.89,47.05,46.66,28342.0,132772157.0,0.173,0.136,0.072,45.85,57.53,22.51,55.85,61.81,61.98,46.872,46.934,
2025-03-19 10:30:00,46.8,46.19,46.81,46.13,47309.0,219464434.0,0.113,0.132,-0.037,31.79,48.95,0.0,33.85,49.3,52.42,46.748,46.888,
2025-03-19 11:30:00,46.19,46.4,46.57,46.18,14078.0,65298081.0,0.082,0.122,-0.079,27.49,41.79,0.0,42.07,52.45,54.53,46.622,46.868,
2025-03-19 14:00:00,46.39,46.29,46.65,46.21,19478.0,90418846.0,0.048,0.107,-0.118,22.52,35.37,0.0,39.02,50.66,53.29,46.508,46.744,
2025-03-19 15:00:00,46.3,46.26,46.39,46.16,22551.0,104269893.0,0.019,0.09,-0.141,18.43,29.72,0.0,38.12,50.14,52.97,46.406,46.652,46.525
2025-03-20 10:30:00,46.16,46.1,46.45,45.85,35986.0,165790379.0,-0.017,0.068,-0.171,17.66,25.7,1.58,33.2,47.36,51.29,46.248,46.56,46.513
2025-03-20 11:30:00,46.12,46.25,46.33,46.08,14183.0,65524739.0,-0.033,0.048,-0.163,22.89,24.76,19.13,41.67,50.19,52.69,46.26,46.504,46.527
2025-03-20 14:00:00,46.26,46.0,46.28,45.92,18301.0,84283771.0,-0.066,0.025,-0.182,19.42,22.98,12.3,33.24,45.72,50.28,46.18,46.401,46.55
