Date,USDCNY
2014-11-06,6.102
2014-11-09,6.1128
2014-11-10,6.1095
2014-11-11,6.1145
2014-11-12,6.1162
2014-11-13,6.1148
2014-11-16,6.1195
2014-11-17,6.1143
2014-11-18,6.1113
2014-11-19,6.1095
2014-11-20,6.1135
2014-11-23,6.1149
2014-11-24,6.1317
2014-11-25,6.1265
2014-11-26,6.1291
2014-11-27,6.1291
2014-11-30,6.1332
2014-12-01,6.142
2014-12-02,6.1395
2014-12-03,6.1402
2014-12-04,6.1446
2014-12-07,6.1402
2014-12-08,6.163
2014-12-09,6.1778
2014-12-10,6.1666
2014-12-11,6.1786
2014-12-14,6.1769
2014-12-15,6.1805
2014-12-16,6.1795
2014-12-17,6.187
2014-12-18,6.2045
2014-12-21,6.2099
2014-12-22,6.2116
2014-12-23,6.2159
2014-12-24,6.2053
2014-12-25,6.2053
2014-12-28,6.2053
2014-12-29,6.2125
2014-12-30,6.192
2014-12-31,6.1961
2015-01-01,6.1961
2015-01-04,6.1961
2015-01-05,6.2084
2015-01-06,6.202
2015-01-07,6.204
2015-01-08,6.2035
2015-01-11,6.2003
2015-01-12,6.1934
2015-01-13,6.1876
2015-01-14,6.184
2015-01-15,6.1775
2015-01-18,6.197
2015-01-19,6.208
2015-01-20,6.2049
2015-01-21,6.2017
2015-01-22,6.199
2015-01-25,6.2179
2015-01-26,6.2458
2015-01-27,6.2351
2015-01-28,6.2365
2015-01-29,6.2366
2015-02-01,6.241
2015-02-02,6.2495
2015-02-03,6.2457
2015-02-04,6.2377
2015-02-05,6.2421
2015-02-08,6.2334
2015-02-09,6.2388
2015-02-10,6.2318
2015-02-11,6.2323
2015-02-12,6.2345
2015-02-15,6.2303
2015-02-16,6.2386
2015-02-17,6.2441
2015-02-18,6.2441
2015-02-19,6.2441
2015-02-22,6.2441
2015-02-23,6.2451
2015-02-24,6.2451
2015-02-25,6.2495
2015-02-26,6.2495
2015-03-01,6.2586
2015-03-02,6.2637
2015-03-03,6.2637
